userId,logDate,activityLogCount,activityDurationInMin
83443,2025-11-24,2,97
83443,2025-11-25,2,83
83443,2025-11-26,2,40
83443,2025-11-27,2,57
83443,2025-11-28,1,20
83443,2025-11-29,1,20
83443,2025-11-30,2,191
83443,2025-12-01,1,20
83443,2025-12-02,1,20
83443,2025-12-03,2,44
83443,2025-12-04,1,30
83443,2025-12-05,3,90
83443,2025-12-06,7,156
83443,2025-12-07,4,114
83443,2025-12-08,4,112
83443,2025-12-09,2,31
83443,2025-12-10,2,44
83443,2025-12-11,1,20
83443,2025-12-12,4,123
83443,2025-12-13,2,38
83443,2025-12-14,4,138
83443,2025-12-15,3,115
83443,2025-12-16,3,79
83443,2025-12-17,2,99
83674,2025-11-24,2,21
83674,2025-11-25,1,10
83674,2025-11-26,1,10
83674,2025-11-27,1,10
83674,2025-11-28,1,10
83674,2025-11-29,2,20
83674,2025-11-30,2,20
83674,2025-12-01,3,44
83674,2025-12-02,3,32
83674,2025-12-03,1,15
83674,2025-12-04,2,20
83674,2025-12-05,1,20
83674,2025-12-06,1,10
83674,2025-12-07,1,10
83674,2025-12-08,1,10
83674,2025-12-09,2,22
83674,2025-12-10,1,10
83674,2025-12-11,2,22
83674,2025-12-12,1,10
83674,2025-12-13,3,29
83674,2025-12-14,2,22
83674,2025-12-15,1,10
83674,2025-12-16,1,10
83674,2025-12-17,2,33
84288,2025-11-25,1,29
84288,2025-11-26,3,4
84288,2025-11-27,2,21
84288,2025-12-03,3,21
84288,2025-12-04,2,2
84288,2025-12-05,4,42
84288,2025-12-08,1,0
84288,2025-12-09,1,33
84288,2025-12-11,1,16
84288,2025-12-15,2,25
84635,2025-11-24,2,210
84635,2025-11-25,3,150
84635,2025-11-26,4,150
84635,2025-11-27,6,320
84635,2025-11-28,2,120
84635,2025-11-29,3,190
84635,2025-11-30,2,120
84635,2025-12-01,3,120
84635,2025-12-02,4,185
84635,2025-12-03,6,213
84635,2025-12-04,4,155
84635,2025-12-05,5,270
84635,2025-12-06,8,212
84635,2025-12-07,12,145
84635,2025-12-08,12,242
84635,2025-12-09,2,78
84635,2025-12-10,3,88
84635,2025-12-11,3,161
84635,2025-12-12,3,53
84635,2025-12-13,4,177
84635,2025-12-14,4,181
84635,2025-12-15,3,23
84635,2025-12-16,4,190
84635,2025-12-17,5,201
167682,2025-11-24,1,60
167682,2025-11-25,1,30
167682,2025-11-26,1,60
167682,2025-11-27,3,60
167682,2025-11-28,2,80
167682,2025-11-29,2,55
167682,2025-12-01,5,154
167682,2025-12-02,2,22
167682,2025-12-03,2,660
167682,2025-12-04,2,42
167682,2025-12-05,1,15
167682,2025-12-06,1,30
167682,2025-12-07,1,143
167682,2025-12-08,1,15
167682,2025-12-09,1,38
167682,2025-12-10,2,75
167682,2025-12-11,2,72
167682,2025-12-13,1,30
167682,2025-12-15,1,60
167682,2025-12-16,2,75
167682,2025-12-17,2,79
209207,2025-11-24,1,20
209207,2025-12-12,1,20
835846,2025-11-24,2,56
835846,2025-11-25,2,55
835846,2025-11-26,4,61
835846,2025-11-27,3,60
835846,2025-11-28,2,57
835846,2025-11-29,3,67
835846,2025-11-30,4,63
835846,2025-12-01,2,60
835846,2025-12-02,2,58
835846,2025-12-03,2,57
835846,2025-12-04,2,57
835846,2025-12-05,2,57
835846,2025-12-06,9,77
835846,2025-12-07,5,73
835846,2025-12-08,3,60
835846,2025-12-09,3,80
835846,2025-12-10,3,80
835846,2025-12-11,2,68
835846,2025-12-12,2,68
835846,2025-12-13,2,61
835846,2025-12-14,3,75
835846,2025-12-15,2,59
835846,2025-12-16,2,57
835846,2025-12-17,2,57
4797679,2025-11-24,1,118
4797679,2025-11-25,1,60
4797679,2025-11-26,1,20
4797679,2025-11-27,2,132
4797679,2025-11-29,6,405
4797679,2025-11-30,6,304
4797679,2025-12-01,3,155
4797679,2025-12-02,3,217
4797679,2025-12-03,2,171
4797679,2025-12-04,2,90
4797679,2025-12-05,3,147
4797679,2025-12-06,3,149
4797679,2025-12-07,3,149
4797679,2025-12-08,3,149
4797679,2025-12-09,2,65
4797679,2025-12-10,4,315
4797679,2025-12-11,3,122
4797679,2025-12-12,3,161
4797679,2025-12-13,3,145
4797679,2025-12-14,3,145
4797679,2025-12-15,3,160
4797679,2025-12-16,3,145
4797679,2025-12-17,4,303
5039865,2025-12-01,1,169
5039865,2025-12-07,4,295
5039865,2025-12-08,3,215
5039865,2025-12-09,4,105
5039865,2025-12-13,1,45
5039865,2025-12-16,1,20
6165857,2025-11-25,3,116
6165857,2025-11-26,2,85
6165857,2025-11-27,1,45
6165857,2025-11-28,1,43
6165857,2025-11-29,2,86
6165857,2025-11-30,2,100
6165857,2025-12-01,2,138
6165857,2025-12-02,2,144
6165857,2025-12-03,3,144
6165857,2025-12-04,2,102
6165857,2025-12-05,6,104
6165857,2025-12-06,4,138
6165857,2025-12-07,2,48
6165857,2025-12-09,2,52
6165857,2025-12-10,2,89
6165857,2025-12-11,2,155
6165857,2025-12-12,2,68
6165857,2025-12-14,2,94
6165857,2025-12-16,2,86
6166080,2025-11-25,2,60
6166080,2025-11-26,1,24
6166080,2025-11-27,2,2
6166080,2025-11-28,2,22
6166080,2025-11-29,2,49
6166080,2025-11-30,2,47
6166080,2025-12-01,2,76
6166080,2025-12-02,1,27
6166080,2025-12-03,1,19
6166080,2025-12-04,4,82
6166080,2025-12-05,1,11
6166080,2025-12-06,1,28
6166080,2025-12-08,2,62
6166080,2025-12-09,1,0
6166080,2025-12-10,2,56
6166080,2025-12-12,2,68
6166080,2025-12-13,2,64
6166080,2025-12-14,1,24
6166080,2025-12-15,1,0
6166080,2025-12-16,3,19
6166080,2025-12-17,2,1
6166162,2025-11-26,3,39
6166162,2025-11-27,1,43
6166162,2025-11-28,2,54
6166162,2025-11-29,2,79
6166162,2025-12-02,3,122
6166162,2025-12-03,2,45
6166162,2025-12-04,2,101
6166162,2025-12-05,3,128
6166162,2025-12-06,2,60
6166162,2025-12-07,5,152
6166162,2025-12-08,4,165
6166162,2025-12-09,4,71
6166162,2025-12-10,2,46
6166162,2025-12-11,4,159
6166162,2025-12-12,3,71
6166162,2025-12-13,3,111
6166162,2025-12-14,2,41
6166162,2025-12-15,4,113
6166162,2025-12-16,2,25
6166162,2025-12-17,4,28
6166166,2025-11-24,2,35
6166166,2025-11-25,1,30
6166166,2025-11-26,2,150
6166166,2025-11-27,1,46
6166166,2025-11-28,2,47
6166166,2025-11-29,1,31
6166166,2025-11-30,2,169
6166166,2025-12-01,1,1
6166166,2025-12-02,3,89
6166166,2025-12-03,1,60
6166166,2025-12-04,2,40
6166166,2025-12-05,1,25
6166166,2025-12-06,1,18
6166166,2025-12-08,1,31
6166166,2025-12-09,3,36
6166166,2025-12-10,2,39
6166166,2025-12-11,1,13
6166166,2025-12-12,1,19
6166166,2025-12-13,1,15
6166166,2025-12-16,1,16
6166166,2025-12-17,3,61
6166227,2025-11-28,1,113
6166227,2025-11-29,1,15
6166227,2025-11-30,4,190
6166227,2025-12-01,3,15
6166227,2025-12-02,3,147
6166227,2025-12-03,2,107
6166227,2025-12-05,3,31
6166227,2025-12-06,5,88
6166227,2025-12-07,4,61
6166227,2025-12-08,4,148
6166227,2025-12-09,3,81
6166227,2025-12-10,3,213
6166227,2025-12-11,2,20
6166227,2025-12-12,6,348
6166227,2025-12-13,3,145
6166227,2025-12-14,3,72
6166227,2025-12-15,5,178
6166227,2025-12-16,3,53
6166227,2025-12-17,3,33
6166305,2025-11-26,2,24
6166305,2025-11-27,2,76
6166305,2025-11-28,4,95
6166305,2025-11-29,1,16
6166305,2025-11-30,1,60
6166305,2025-12-01,2,24
6166305,2025-12-02,3,72
6166305,2025-12-03,3,124
6166305,2025-12-05,4,131
6166305,2025-12-06,1,34
6166305,2025-12-07,2,55
6166305,2025-12-08,2,20
6166305,2025-12-09,3,64
6166305,2025-12-10,2,65
6166305,2025-12-11,3,87
6166305,2025-12-12,2,55
6166305,2025-12-13,4,84
6166305,2025-12-14,7,95
6166305,2025-12-15,4,118
6166305,2025-12-16,2,68
6166305,2025-12-17,5,116
6166306,2025-11-24,3,51
6166306,2025-11-25,2,60
6166306,2025-11-26,1,30
6166306,2025-11-27,1,60
6166306,2025-11-28,1,20
6166306,2025-11-29,1,20
6166306,2025-11-30,1,20
6166306,2025-12-01,1,20
6166306,2025-12-02,1,30
6166306,2025-12-03,1,30
6166306,2025-12-04,1,30
6166306,2025-12-05,1,30
6166306,2025-12-06,8,41
6166306,2025-12-07,8,62
6166306,2025-12-08,1,30
6166306,2025-12-09,1,35
6166306,2025-12-10,2,46
6166306,2025-12-11,2,26
6166306,2025-12-12,3,47
6166306,2025-12-13,1,60
6166306,2025-12-14,1,30
6166306,2025-12-15,2,42
6166306,2025-12-16,2,38
6166306,2025-12-17,2,39
6166310,2025-11-24,2,60
6166310,2025-11-25,3,130
6166310,2025-11-26,3,135
6166310,2025-11-27,3,90
6166310,2025-11-28,2,117
6166310,2025-11-30,1,133
6166310,2025-12-01,3,130
6166310,2025-12-02,4,160
6166310,2025-12-03,3,100
6166310,2025-12-04,2,90
6166310,2025-12-05,2,55
6166310,2025-12-06,4,145
6166310,2025-12-07,3,175
6166310,2025-12-08,2,110
6166310,2025-12-09,2,110
6166310,2025-12-10,3,150
6166310,2025-12-11,1,30
6166310,2025-12-12,2,130
6166310,2025-12-13,3,120
6166310,2025-12-14,4,224
6166310,2025-12-15,3,85
6166310,2025-12-16,3,115
6166310,2025-12-17,3,140
6166483,2025-11-28,1,55
6166483,2025-12-01,4,160
6166483,2025-12-04,3,111
6166483,2025-12-05,2,98
6166483,2025-12-07,2,25
6166483,2025-12-08,2,99
6166483,2025-12-09,4,110
6166483,2025-12-10,2,92
6166483,2025-12-11,2,150
6166483,2025-12-12,6,341
6166483,2025-12-13,2,36
6166483,2025-12-14,2,68
6166483,2025-12-15,2,46
6166483,2025-12-16,2,52
6166483,2025-12-17,1,43
