userId,logDate,dailyFoodLogCount,dailyCalGained
83443,2025-11-24,6,1807
83443,2025-11-25,7,1300
83443,2025-11-26,4,1410
83443,2025-11-27,5,2136.5
83443,2025-11-28,3,1749
83443,2025-11-29,3,1607
83443,2025-11-30,4,1748
83443,2025-12-01,3,2189
83443,2025-12-02,3,1916
83443,2025-12-03,3,2113
83443,2025-12-04,4,2158
83443,2025-12-05,4,1700
83443,2025-12-06,3,1778.5
83443,2025-12-07,3,1517
83443,2025-12-08,3,2282
83443,2025-12-09,3,2254.5
83443,2025-12-10,3,730
83443,2025-12-11,3,1517.5
83443,2025-12-12,3,950
83443,2025-12-13,4,1347
83443,2025-12-14,3,1501.5
83443,2025-12-15,5,1385
83443,2025-12-16,3,1807
83443,2025-12-17,3,1644
83674,2025-11-24,5,1612
83674,2025-11-25,4,1688
83674,2025-11-26,6,2291.5
83674,2025-11-27,4,1632
83674,2025-11-28,10,2955.5
83674,2025-11-29,5,1904
83674,2025-11-30,5,2309
83674,2025-12-01,5,1319.5
83674,2025-12-02,4,1642
83674,2025-12-03,4,1827
83674,2025-12-04,4,1892
83674,2025-12-05,4,2469
83674,2025-12-06,6,2451
83674,2025-12-07,7,2368.5
83674,2025-12-08,6,1886.5
83674,2025-12-09,7,2301
83674,2025-12-10,4,1491.5
83674,2025-12-11,6,2147
83674,2025-12-12,4,1935
83674,2025-12-13,6,2412.5
83674,2025-12-14,5,2374
83674,2025-12-15,3,1492
83674,2025-12-16,6,2101
83674,2025-12-17,4,2069.5
84288,2025-11-24,2,429
84288,2025-11-25,4,1876
84288,2025-11-26,4,1781
84288,2025-11-27,4,1682
84288,2025-11-30,4,1215
84288,2025-12-02,6,1744
84288,2025-12-03,6,1125
84288,2025-12-04,5,2030
84288,2025-12-05,5,522
84288,2025-12-06,2,83
84288,2025-12-07,4,1790
84288,2025-12-08,5,1807
84288,2025-12-09,6,1763
84288,2025-12-10,6,1860
84288,2025-12-11,4,919
84288,2025-12-12,7,1605
84288,2025-12-14,4,1439
84288,2025-12-16,4,2081
84288,2025-12-17,1,0
84635,2025-11-25,2,563
84635,2025-11-26,3,1357
84635,2025-11-27,6,1085
84635,2025-11-28,4,555
84635,2025-11-29,4,1362
84635,2025-11-30,2,785
84635,2025-12-01,5,1363
84635,2025-12-02,5,1817
84635,2025-12-03,5,1758
84635,2025-12-04,5,2171
84635,2025-12-05,7,2331
84635,2025-12-06,6,1982
84635,2025-12-07,4,1186
84635,2025-12-08,4,1352
84635,2025-12-09,5,1323
84635,2025-12-10,4,796
84635,2025-12-11,4,1833
84635,2025-12-12,5,1886
84635,2025-12-13,3,1127
84635,2025-12-14,4,280
84635,2025-12-15,4,1417
84635,2025-12-16,5,1216
84635,2025-12-17,4,692
167486,2025-11-28,4,1560
167486,2025-11-29,6,1516.5
167486,2025-11-30,1,324
167486,2025-12-02,1,210
167486,2025-12-03,4,1773.5
167486,2025-12-04,1,530
167486,2025-12-07,1,0
167486,2025-12-12,1,250
167486,2025-12-13,2,360
167486,2025-12-14,1,0
167486,2025-12-16,4,1422
167682,2025-11-24,4,1957
167682,2025-11-25,3,1779.5
167682,2025-11-26,3,865
167682,2025-11-27,5,1528.5
167682,2025-11-28,5,1533.5
167682,2025-11-29,4,1626.5
167682,2025-11-30,6,1175
167682,2025-12-01,5,1665
167682,2025-12-02,2,488
167682,2025-12-03,5,1127.5
167682,2025-12-04,4,1136
167682,2025-12-05,4,1502.5
167682,2025-12-06,4,1495
167682,2025-12-07,3,1075.5
167682,2025-12-08,5,1161
167682,2025-12-09,4,1242
167682,2025-12-10,5,1364
167682,2025-12-11,3,1091.5
167682,2025-12-12,6,1580
167682,2025-12-13,4,1338
167682,2025-12-14,2,832
167682,2025-12-15,3,1298.5
167682,2025-12-16,4,1135
167682,2025-12-17,3,1339.5
209207,2025-11-24,3,1281
209207,2025-11-25,1,240
209207,2025-12-08,4,1516
209207,2025-12-09,5,1456
209207,2025-12-10,3,1528
209207,2025-12-11,4,1526
209207,2025-12-12,3,1512
209207,2025-12-13,4,1362
209207,2025-12-14,4,1634
209207,2025-12-16,4,2113
209207,2025-12-17,4,1249
835846,2025-11-24,3,0
835846,2025-11-25,5,607
835846,2025-11-26,3,0
835846,2025-11-27,3,509
835846,2025-11-28,3,420
835846,2025-11-29,3,786
835846,2025-11-30,3,885
835846,2025-12-01,3,0
835846,2025-12-02,3,0
835846,2025-12-03,3,0
835846,2025-12-04,3,0
835846,2025-12-05,3,0
835846,2025-12-06,3,0
835846,2025-12-07,3,433
835846,2025-12-08,3,0
835846,2025-12-09,3,0
835846,2025-12-10,3,0
835846,2025-12-11,3,0
835846,2025-12-12,3,0
835846,2025-12-13,3,0
835846,2025-12-14,3,135
835846,2025-12-15,3,0
835846,2025-12-16,3,0
835846,2025-12-17,3,0
4797679,2025-11-25,2,1368
4797679,2025-11-26,2,0
4797679,2025-11-27,2,360
4797679,2025-11-28,2,1044
4797679,2025-11-29,4,244
4797679,2025-11-30,2,0
4797679,2025-12-01,3,738
4797679,2025-12-04,1,304
4797679,2025-12-05,1,274
4797679,2025-12-06,3,1373
4797679,2025-12-07,1,239
4797679,2025-12-08,3,0
4797679,2025-12-09,5,652
4797679,2025-12-10,4,0
4797679,2025-12-11,2,0
4797679,2025-12-12,3,0
4797679,2025-12-13,4,0
4797679,2025-12-14,4,0
4797679,2025-12-15,4,0
4797679,2025-12-16,4,0
4797679,2025-12-17,4,0
5039865,2025-11-24,2,190
5039865,2025-12-01,2,190
5039865,2025-12-03,1,0
5039865,2025-12-07,1,0
5039865,2025-12-08,5,0
5039865,2025-12-09,2,0
5039865,2025-12-10,3,0
5039865,2025-12-12,2,0
5039865,2025-12-13,4,300
6165857,2025-11-24,1,350
6165857,2025-11-25,3,1391
6165857,2025-11-26,6,2141
6165857,2025-11-27,4,1576
6165857,2025-11-28,3,893
6165857,2025-11-29,4,2078
6165857,2025-11-30,6,1958
6165857,2025-12-01,6,1426
6165857,2025-12-02,3,1921
6165857,2025-12-03,2,1051
6165857,2025-12-04,3,1599
6165857,2025-12-05,4,1922
6165857,2025-12-06,4,1932
6165857,2025-12-07,3,2576
6165857,2025-12-08,3,1775
6165857,2025-12-09,5,2142
6165857,2025-12-10,3,1655.5
6165857,2025-12-11,5,2341
6165857,2025-12-12,4,2229.5
6165857,2025-12-13,4,2060
6165857,2025-12-14,3,2717
6165857,2025-12-15,4,1919
6165857,2025-12-16,3,2195
6165857,2025-12-17,3,1698
6166080,2025-11-28,6,1147
6166080,2025-11-29,8,1136
6166080,2025-11-30,6,1260
6166080,2025-12-01,8,1100
6166080,2025-12-02,7,1352
6166080,2025-12-03,5,1206
6166080,2025-12-04,6,1658
6166080,2025-12-05,5,1549
6166080,2025-12-06,6,2488
6166080,2025-12-07,8,1489
6166080,2025-12-08,7,1545
6166080,2025-12-09,5,1515
6166080,2025-12-10,6,1077
6166080,2025-12-11,3,1620
6166080,2025-12-12,4,1278
6166080,2025-12-13,6,1131
6166080,2025-12-14,6,2616
6166080,2025-12-15,4,1587
6166080,2025-12-16,4,1210
6166080,2025-12-17,4,1461
6166162,2025-11-25,1,60
6166162,2025-11-26,4,761
6166162,2025-11-27,6,1036
6166162,2025-11-28,5,916
6166162,2025-11-29,3,438
6166162,2025-11-30,1,210
6166162,2025-12-01,6,1975
6166162,2025-12-02,2,324
6166162,2025-12-03,7,1379
6166162,2025-12-04,3,1045
6166162,2025-12-05,3,1139
6166162,2025-12-06,5,1247
6166162,2025-12-07,3,886
6166162,2025-12-08,5,1207
6166162,2025-12-09,7,1291
6166162,2025-12-10,4,1235
6166162,2025-12-11,7,1485
6166162,2025-12-12,6,669
6166162,2025-12-13,4,638
6166162,2025-12-14,3,805
6166162,2025-12-15,4,817
6166162,2025-12-16,6,1111
6166162,2025-12-17,4,942
6166166,2025-11-24,3,876
6166166,2025-11-25,7,1787
6166166,2025-11-26,7,709
6166166,2025-11-27,3,767
6166166,2025-11-28,6,1504
6166166,2025-11-29,5,1515
6166166,2025-11-30,4,1137
6166166,2025-12-01,5,1288
6166166,2025-12-02,5,1078.5
6166166,2025-12-03,4,1072
6166166,2025-12-04,6,1107
6166166,2025-12-05,5,1658
6166166,2025-12-06,6,1574
6166166,2025-12-07,5,1307
6166166,2025-12-08,3,1213
6166166,2025-12-09,8,2269
6166166,2025-12-10,5,1030
6166166,2025-12-11,6,1095
6166166,2025-12-12,5,1866
6166166,2025-12-13,4,1475
6166166,2025-12-14,3,1239
6166166,2025-12-15,3,1116
6166166,2025-12-16,2,736
6166166,2025-12-17,4,1699
6166227,2025-11-26,2,574
6166227,2025-11-27,5,1348
6166227,2025-11-28,4,1864
6166227,2025-11-29,6,3313
6166227,2025-11-30,5,1880
6166227,2025-12-01,7,1655
6166227,2025-12-02,8,2127
6166227,2025-12-03,6,1950
6166227,2025-12-04,8,2038
6166227,2025-12-05,8,1881
6166227,2025-12-06,4,1832
6166227,2025-12-07,8,1637
6166227,2025-12-08,5,2288
6166227,2025-12-09,7,1726
6166227,2025-12-10,6,2067
6166227,2025-12-11,6,1725
6166227,2025-12-12,6,1837
6166227,2025-12-13,6,1813
6166227,2025-12-14,5,1697
6166227,2025-12-15,7,1564
6166227,2025-12-16,7,1350
6166227,2025-12-17,8,2330
6166274,2025-11-29,2,654
6166274,2025-11-30,2,1110
6166274,2025-12-01,3,1314
6166274,2025-12-02,2,589
6166274,2025-12-03,2,689
6166274,2025-12-04,1,685
6166274,2025-12-05,2,877
6166274,2025-12-08,3,745
6166274,2025-12-09,3,1505
6166274,2025-12-10,3,2214
6166274,2025-12-11,3,1814
6166274,2025-12-12,2,468
6166274,2025-12-13,3,2808
6166274,2025-12-14,2,1302
6166274,2025-12-15,1,246
6166274,2025-12-16,1,910
6166274,2025-12-17,2,999
6166305,2025-11-24,7,1302
6166305,2025-11-25,7,1298
6166305,2025-11-26,5,1335
6166305,2025-11-27,9,1669.5
6166305,2025-11-28,11,1317.5
6166305,2025-11-29,8,1306
6166305,2025-11-30,5,1231
6166305,2025-12-01,8,1178.5
6166305,2025-12-02,6,774
6166305,2025-12-03,7,1135.5
6166305,2025-12-04,8,1157
6166305,2025-12-05,6,1173
6166305,2025-12-06,5,1002.5
6166305,2025-12-07,6,876
6166305,2025-12-08,6,1428.5
6166305,2025-12-09,5,1181
6166305,2025-12-10,10,1267
6166305,2025-12-11,8,1070.5
6166305,2025-12-12,7,726
6166305,2025-12-13,8,1345
6166305,2025-12-14,10,1341
6166305,2025-12-15,12,1224.5
6166305,2025-12-16,9,931
6166305,2025-12-17,11,1102
6166306,2025-11-24,5,1988
6166306,2025-11-25,4,1388
6166306,2025-11-26,5,2150
6166306,2025-11-27,4,1628
6166306,2025-11-28,2,1577
6166306,2025-11-29,3,1044
6166306,2025-11-30,3,1508
6166306,2025-12-01,1,401
6166306,2025-12-02,5,1816
6166306,2025-12-03,3,1174
6166306,2025-12-04,4,1828
6166306,2025-12-05,3,1729
6166306,2025-12-06,3,1244
6166306,2025-12-07,3,1518
6166306,2025-12-08,3,1439
6166306,2025-12-09,3,1067
6166306,2025-12-10,4,1451
6166306,2025-12-11,4,1639
6166306,2025-12-12,4,1839
6166306,2025-12-13,3,1877
6166306,2025-12-14,3,907
6166306,2025-12-15,3,1632
6166306,2025-12-16,3,714
6166306,2025-12-17,3,1051
6166310,2025-11-24,4,2872.5
6166310,2025-11-25,9,3262
6166310,2025-11-26,6,3487
6166310,2025-11-27,5,3021.5
6166310,2025-11-28,5,3615.5
6166310,2025-11-29,5,3013
6166310,2025-11-30,6,3045
6166310,2025-12-01,5,2967.5
6166310,2025-12-02,5,3192.5
6166310,2025-12-03,5,2971
6166310,2025-12-04,4,3437
6166310,2025-12-05,5,3132
6166310,2025-12-06,5,3100
6166310,2025-12-07,4,2774
6166310,2025-12-08,1,612
6166310,2025-12-09,2,1753
6166310,2025-12-10,2,1339
6166310,2025-12-11,4,2866
6166310,2025-12-12,4,3011
6166310,2025-12-13,3,2115.5
6166310,2025-12-14,5,2974
6166310,2025-12-15,1,954
6166310,2025-12-16,4,2885.5
6166310,2025-12-17,3,2024
6166483,2025-11-24,3,1150
6166483,2025-11-25,1,217
6166483,2025-11-26,1,440
6166483,2025-11-27,4,571.5
6166483,2025-11-28,3,953.5
6166483,2025-11-29,4,595
6166483,2025-11-30,4,2046
6166483,2025-12-01,5,1558
6166483,2025-12-02,4,942.5
6166483,2025-12-03,5,1060.5
6166483,2025-12-04,3,594
6166483,2025-12-05,4,1092
6166483,2025-12-06,5,1445.5
6166483,2025-12-07,4,1587
6166483,2025-12-08,7,1356
6166483,2025-12-09,4,687
6166483,2025-12-10,4,868
6166483,2025-12-11,2,120
6166483,2025-12-12,3,463
6166483,2025-12-13,5,1647
6166483,2025-12-14,3,1100
6166483,2025-12-15,2,678
6166483,2025-12-16,4,1093
6166483,2025-12-17,4,1467
